2026-03-18 10:58:39 | INFO     | biryani.hardware.valve | [Valve1-RiceBowl] STOP
2026-03-18 10:58:39 | INFO     | biryani.hardware.valve | [Valve2-MixerValve] STOP
2026-03-18 10:58:39 | INFO     | biryani.hardware.valve | [Valve3-Filter] OFF
2026-03-18 10:58:39 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 10:58:39 | INFO     | biryani.hardware.motor | [Motor2-Position] STOP
2026-03-18 10:59:36 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 10:59:36 | INFO     | biryani.core.state_machine | State: STEP_IN_PROGRESS -> WAITING
2026-03-18 10:59:36 | INFO     | biryani.core.state_machine | Step 6/10: Cooking wait
2026-03-18 10:59:36 | INFO     | biryani.core.state_machine | State: WAITING -> STEP_IN_PROGRESS
2026-03-18 10:59:36 | INFO     | biryani.services.cooking | [Step 6] Cooking wait
2026-03-18 11:00:06 | INFO     | biryani.services.cooking | Temperature: 24.50C
2026-03-18 11:00:36 | INFO     | biryani.services.cooking | Temperature: 25.25C
2026-03-18 11:01:06 | INFO     | biryani.services.cooking | Temperature: 24.50C
2026-03-18 11:01:36 | INFO     | biryani.services.cooking | Temperature: 25.25C
2026-03-18 11:01:36 | INFO     | biryani.core.state_machine | State: STEP_IN_PROGRESS -> WAITING
2026-03-18 11:01:36 | INFO     | biryani.core.state_machine | Step 7/10: Lifting Rice Bowl
2026-03-18 11:01:36 | INFO     | biryani.core.state_machine | State: WAITING -> STEP_IN_PROGRESS
2026-03-18 11:01:36 | INFO     | biryani.services.cooking | [Step 7] Lifting Rice Bowl
2026-03-18 11:01:36 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 11:01:36 | INFO     | biryani.hardware.motor | [Motor2-Position] STOP
2026-03-18 11:01:37 | INFO     | biryani.hardware.valve | [Valve1-RiceBowl] STOP
2026-03-18 11:01:37 | INFO     | biryani.hardware.valve | [Valve2-MixerValve] STOP
2026-03-18 11:01:38 | INFO     | biryani.hardware.valve | [Valve1-RiceBowl] UP
2026-03-18 11:01:58 | INFO     | biryani.hardware.valve | [Valve1-RiceBowl] STOP
2026-03-18 11:01:58 | INFO     | biryani.core.state_machine | State: STEP_IN_PROGRESS -> WAITING
2026-03-18 11:01:58 | INFO     | biryani.core.state_machine | Step 8/10: Lifting Mixer Valve
2026-03-18 11:01:58 | INFO     | biryani.core.state_machine | State: WAITING -> STEP_IN_PROGRESS
2026-03-18 11:01:58 | INFO     | biryani.services.cooking | [Step 8] Lifting Mixer Valve
2026-03-18 11:01:58 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 11:01:58 | INFO     | biryani.hardware.motor | [Motor2-Position] STOP
2026-03-18 11:01:59 | INFO     | biryani.hardware.valve | [Valve1-RiceBowl] STOP
2026-03-18 11:01:59 | INFO     | biryani.hardware.valve | [Valve2-MixerValve] STOP
2026-03-18 11:02:00 | INFO     | biryani.hardware.valve | [Valve2-MixerValve] UP
2026-03-18 11:02:20 | INFO     | biryani.hardware.valve | [Valve2-MixerValve] STOP
2026-03-18 11:02:20 | INFO     | biryani.core.state_machine | State: STEP_IN_PROGRESS -> WAITING
2026-03-18 11:02:20 | INFO     | biryani.core.state_machine | Step 9/10: Pre-rotation wait
2026-03-18 11:02:20 | INFO     | biryani.core.state_machine | State: WAITING -> STEP_IN_PROGRESS
2026-03-18 11:02:20 | INFO     | biryani.services.cooking | [Step 9] Pre-rotation wait
2026-03-18 11:02:20 | INFO     | biryani.services.cooking | Temperature: 24.50C
2026-03-18 11:02:35 | INFO     | biryani.core.state_machine | State: STEP_IN_PROGRESS -> WAITING
2026-03-18 11:02:35 | INFO     | biryani.core.state_machine | Step 10/10: Rotating 180 degrees
2026-03-18 11:02:35 | INFO     | biryani.core.state_machine | State: WAITING -> STEP_IN_PROGRESS
2026-03-18 11:02:35 | INFO     | biryani.services.cooking | [Step 10] Rotating 180 degrees
2026-03-18 11:02:35 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 11:02:35 | INFO     | biryani.hardware.motor | [Motor2-Position] STOP
2026-03-18 11:02:36 | INFO     | biryani.hardware.valve | [Valve1-RiceBowl] STOP
2026-03-18 11:02:36 | INFO     | biryani.hardware.valve | [Valve2-MixerValve] STOP
2026-03-18 11:02:36 | INFO     | biryani.hardware.motor | [Motor2-Position] FORWARD
2026-03-18 11:02:38 | INFO     | biryani.hardware.motor | [Motor2-Position] STOP
2026-03-18 11:02:38 | INFO     | biryani.core.state_machine | State: STEP_IN_PROGRESS -> WAITING
2026-03-18 11:02:38 | INFO     | biryani.core.state_machine | State: WAITING -> COMPLETED
2026-03-18 11:02:38 | INFO     | biryani.services.cooking | Biryani Mode COMPLETED
2026-03-18 11:02:38 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 11:02:38 | INFO     | biryani.hardware.motor | [Motor2-Position] STOP
2026-03-18 11:02:39 | INFO     | biryani.hardware.valve | [Valve1-RiceBowl] STOP
2026-03-18 11:02:39 | INFO     | biryani.hardware.valve | [Valve2-MixerValve] STOP
2026-03-18 11:08:57 | INFO     | biryani.hardware.gpio | Using MOCK GPIO (non-Raspberry Pi environment)
2026-03-18 11:08:57 | INFO     | biryani.hardware.gpio | GPIO initialization complete
2026-03-18 11:08:57 | INFO     | biryani.hardware.gpio | Configured 11 pins
2026-03-18 11:09:02 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 11:09:04 | INFO     | biryani.hardware.motor | [Motor1-Mixer] OFF
2026-03-18 11:09:05 | INFO     | biryani.hardware.motor | [Motor1-Mixer] ON
2026-03-18 11:09:08 | INFO     | biryani.hardware.motor | [Motor2-Position] FORWARD
2026-03-18 11:16:15 | INFO     | biryani.hardware.gpio | Using MOCK GPIO (non-Raspberry Pi environment)
2026-03-18 11:16:15 | INFO     | biryani.hardware.gpio | GPIO initialization complete
2026-03-18 11:16:15 | INFO     | biryani.hardware.gpio | Configured 11 pins
2026-07-09 12:21:59 | INFO     | biryani.hardware.gpio | Using MOCK GPIO (development mode)
2026-07-09 12:21:59 | INFO     | biryani.hardware.gpio | GPIO initialized (9 pins)
2026-07-09 12:21:59 | INFO     | biryani.services.cooking | CookingService initialized (mock=True)
2026-07-09 13:49:12 | INFO     | biryani.hardware.gpio | Using MOCK GPIO (development mode)
2026-07-09 13:49:12 | INFO     | biryani.hardware.gpio | GPIO initialized (9 pins)
2026-07-09 13:49:12 | INFO     | biryani.services.cooking | CookingService initialized (mock=True)
2026-07-09 13:49:12 | WARNING  | biryani.services.cooking | Recipe cook_rice is not enabled on machine yet
2026-07-09 13:49:12 | INFO     | biryani.hardware.stirrer | Mixer Motor OFF
2026-07-09 13:49:12 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 13:49:12 | INFO     | biryani.hardware.valve | Rice Bowl STOP
2026-07-09 13:49:13 | INFO     | biryani.hardware.valve | Mixer STOP
2026-07-09 13:49:13 | INFO     | biryani.hardware.valve | Electronic Valve STOP
2026-07-09 13:49:13 | INFO     | biryani.hardware.machine | ALL DEVICES STOPPED
2026-07-09 13:49:13 | WARNING  | biryani.core.emergency_stop | EMERGENCY STOP — all devices stopped
2026-07-09 13:49:13 | WARNING  | biryani.services.cooking | Cooking emergency stop
2026-07-09 13:53:34 | INFO     | biryani.hardware.gpio | Using MOCK GPIO (development mode)
2026-07-09 14:20:00 | INFO     | biryani.hardware.gpio | Using MOCK GPIO (development mode)
2026-07-09 14:20:24 | INFO     | biryani.hardware.gpio | GPIO initialized (9 pins)
2026-07-09 14:20:24 | INFO     | biryani.services.cooking | CookingService initialized (mock=True)
2026-07-09 14:20:24 | INFO     | biryani.services.cooking | Step 1/26: rice_bowl_down_mixer_down — Preparing ingredients
2026-07-09 14:20:25 | INFO     | biryani.hardware.valve | Rice Bowl DOWN
2026-07-09 14:20:25 | INFO     | biryani.hardware.valve | Mixer DOWN
2026-07-09 14:20:41 | INFO     | biryani.services.cooking | Step 2/26: stop_bowls — Preparing ingredients
2026-07-09 14:20:42 | INFO     | biryani.hardware.valve | Rice Bowl STOP
2026-07-09 14:20:42 | INFO     | biryani.hardware.valve | Mixer STOP
2026-07-09 14:20:42 | INFO     | biryani.services.cooking | Step 3/26: mixer_motor_on — Mixing
2026-07-09 14:20:42 | INFO     | biryani.hardware.stirrer | Mixer Motor ON
2026-07-09 14:21:42 | INFO     | biryani.services.cooking | Step 4/26: mixer_motor_off — Heating
2026-07-09 14:21:42 | INFO     | biryani.hardware.stirrer | Mixer Motor OFF
2026-07-09 14:21:42 | INFO     | biryani.services.cooking | Step 5/26: stop_everything — Cooking
2026-07-09 14:21:42 | INFO     | biryani.hardware.stirrer | Mixer Motor OFF
2026-07-09 14:21:42 | INFO     | biryani.hardware.stepper | Position Motor STOP
2026-07-09 14:21:43 | INFO     | biryani.hardware.valve | Rice Bowl STOP
2026-07-09 14:21:43 | INFO     | biryani.hardware.valve | Mixer STOP
2026-07-09 14:21:43 | INFO     | biryani.hardware.valve | Electronic Valve STOP
2026-07-09 14:21:43 | INFO     | biryani.hardware.machine | ALL DEVICES STOPPED
2026-07-09 14:23:43 | INFO     | biryani.services.cooking | Step 6/26: electronic_valve_open — Adding ingredients
2026-07-09 14:23:43 | INFO     | biryani.hardware.valve | Electronic Valve STOP
2026-07-09 14:23:43 | INFO     | biryani.hardware.valve | Electronic Valve OPEN
2026-07-09 14:23:53 | INFO     | biryani.services.cooking | Step 7/26: electronic_valve_close_wait — Adding ingredients
2026-07-09 14:23:53 | INFO     | biryani.hardware.valve | Electronic Valve STOP
